Block,Treat,Rep,Cage,Time,Ini ad,Ini nym,adtot,nymtot,IGR,adtop,nymtop,addist,nymdist,logtop
2,C,2,C12,2,14,27,16,127,7.9375,0.4375,0.551181102,1.5625,0.413385827,-0.109144469
2,C,3,C13,2,13,25,12,50,3.571428571,0.083333333,0.08,1.25,0.5,-1.041392687
2,C,4,C14,2,14,31,14,111,7.389071038,0.571428571,0.531531532,0.892857143,0.225225225,0.124938736
2,C,5,C15,2,13,39,13,71,5.461538462,0.230769231,0.267605634,0,0.14084507,-0.522878745
2,C,6,C16,2,16,29,12,65,4.988905325,0.5,0.630769231,0,0.115384615,0
2,C,7,C17,2,14,32,15,102,7.838757396,0.8,0.803921569,0.666666667,0.441176471,0.602059991
2,C,8,C18,2,14,38,13,120,7.994152047,0.538461538,0.525,0.192307692,0.104166667,0.066946789
2,C,9,C19,2,15,32,14,117,8.349804305,0.285714286,0.47008547,0.357142857,0.128205128,-0.397940008
2,C,10,C110,2,15,25,11,66,5.062130178,0.090909091,0.196969697,1.136363636,0.53030303,-1
2,LR,1,LR11,2,14,31,14,121,8.640066964,0.357142857,0.454545455,0.714285714,0.103305785,-0.255272505
2,LR,2,LR12,2,13,21,9,73,5.117346939,0.333333333,0.369863014,2.222222222,1.404109589,-0.301029996
2,LR,3,LR13,2,13,19,12,67,5.130952381,0.666666667,0.597014925,1.041666667,0.634328358,0.301029996
2,LR,4,LR14,2,15,32,11,81,6.738207547,0.545454545,0.567901235,0.227272727,0.216049383,0.079181245
2,LR,5,LR15,2,14,27,10,72,5.117940199,0.5,0.569444444,1.5,0.833333333,0
2,LR,6,LR16,2,15,47,11,91,6.061016949,0.545454545,0.549450549,0.454545455,0.027472527,0.079181245
2,LR,7,LR17,2,12,37,5,31,2.142857143,0.6,0.193548387,3.5,0.322580645,0.176091259
2,LR,8,LR18,2,13,28,14,50,3.563988095,0.214285714,0.18,1.785714286,1.25,-0.564271431
2,LR,9,LR19,2,14,24,12,98,7.466753585,0.583333333,0.428571429,1.875,0.918367347,0.146128035
2,LR,10,LR110,2,13,26,16,112,7.98776908,0.5,0.482142857,0.78125,0.535714286,0
2,LL,1,LL11,2,13,31,9,61,4.629807692,0.333333333,0.295081967,1.666666667,1.229508197,-0.301029996
2,LL,2,LL12,2,14,29,8,54,3.857142857,0.125,0.259259259,0,0.185185185,-0.84509804
2,LL,3,LL13,2,14,36,7,37,2.774038462,0.428571429,0.567567568,1.428571429,1.013513514,-0.124938736
2,LL,4,LL14,2,15,39,9,69,5.287660256,0.666666667,0.579710145,0.277777778,0.289855072,0.301029996
2,LL,5,LL15,2,15,40,11,70,4.995748299,0.181818182,0.385714286,0.681818182,0.571428571,-0.653212513
2,LL,6,LL16,2,13,30,10,54,4.5,0.8,0.685185185,1.25,0.462962963,0.602059991
2,LL,7,LL17,2,15,55,16,97,6.432653061,0.4375,0.556701031,1.09375,0.87628866,-0.109144469
2,LL,8,LL18,2,12,36,12,85,6.02425876,0.416666667,0.282352941,0.625,0.147058824,-0.146128035
2,LL,9,LL19,2,11,20,10,89,6.338010204,0.6,0.460674157,0.5,0.449438202,0.176091259
2,LL,10,LL110,2,12,28,8,44,3.645299145,0.125,0.318181818,2.1875,0.511363636,-0.84509804
2,HR,1,HR11,2,13,40,10,83,5.928571429,0.5,0.397590361,1.25,0.572289157,0
2,HR,2,HR12,2,14,43,13,79,5.230630631,0.538461538,0.46835443,0.769230769,0.411392405,0.066946789
2,HR,3,HR13,2,15,33,11,56,3.7125,0.272727273,0.214285714,0,0.133928571,-0.425968732
